id,nom,nom_de_famille,prenom,sexe,date_naissance,lieu_naissance,num_deptmt,nom_circo,num_circo,ancien_depute,groupe,groupe_sigle,parti_ratt_financier,responsabilites,groupes_parlementaires,sites_web,anciens_mandats,autres_mandats,profession,place_en_hemicycle,slug,nb_mandats,X35,vote_1312,vote_1329,vote_511,vote_1346,vote_1352,Champ_Lexical,vote_1347,vote_1348,vote_1291,NDDL,Soutien_Presidentiel,index
"523","Yannick Moreau","Moreau","Yannick","H","1975-08-04","Nantes (Loire-Atlantique)","85","Vendée","3","0","Les républicains - membre","LR","Les Républicains","Commission des affaires économiques - membre|","Groupe d'études candidature de la france à l'exposition universelle de - membre|Groupe d'études protection et développement du littoral - membre|Groupe d'études région du kurdistan irakien - membre|Groupe d'études papier et imprimés - membre|Groupe d'études tourisme - membre|Groupe d'études chrétiens d'orient - membre|Groupe d'études arctique antarctique et terres australes et antarctiques françaises - membre|Groupe d'études famille et adoption - membre|Groupe d'études chasse et territoires - secrétaire|Groupe d'études déchets ménagers - membre|Groupe d'amitié france-yemen - secrétaire|Groupe d'études changements climatiques - membre|Groupe d'études prématurité et nouveau-nés vulnérables - membre|Groupe d'études mer pêche et souveraineté maritime - membre|Groupe d'amitié france-roumanie - secrétaire|Groupe d'études commerce et artisanat - membre|Groupe d'études politique portuaire - membre|","http://www.yannickmoreau.fr|http://www.yannickmoreau.com|https://twitter.com/YannickMOREAU|","20/06/2012 /  / |","Olonnes / Communauté de communes / président|Olonne-sur-Mer (Vendée) / Conseil municipal / maire|","Sans profession declaree","231","yannick-moreau","3","","Contre","NA","Contre","Contre","Contre","avortement/centres-villes/côte/délit/délit/d’entrave/grossesse/IVG/littoral/opinion/PIA/policier/trait/trait de côte/urbanisme/veil","Contre","Contre","Pour","Pour","Fillon","150"
"426","Alain Leboeuf","Leboeuf","Alain","H","1964-02-02","Nantes (Loire-Atlantique)","85","Vendée","1","0","Les républicains - membre","LR","Les Républicains","Commission du développement durable et de l'aménagement du territoire - membre|","Groupe d'études candidature de la france à l'exposition universelle de - membre|Groupe d'études déchets ménagers - vice-président|Groupe d'études industries agro-alimentaires et filière agricole - membre|Groupe d'études fillière véhicules industriels - membre|Groupe d'études automobile - membre|Groupe d'études internet et société numérique - membre|Groupe d'études chrétiens d'orient - membre|Groupe d'études cheval - membre|Groupe d'études foncier - membre|Groupe d'études jardins paysage et horticulture - membre|Groupe d'études construction éco-construction et logement - membre|Groupe d'études pme - membre|","http://www.alainleboeuf.fr|https://twitter.com/a_leboeuf|","20/06/2012 /  / |","Canton de Rocheservière / Communauté de communes / vice-président|Rocheservière (Vendée) / Conseil municipal / maire|Vendée / Conseil départemental / vice-président|","Cadre supérieur du secteur privé","59","alain-leboeuf","4","","Contre","Contre","Contre","Contre","Contre","PPE","Contre","Contre","Pour","Pour","Fillon","206"
"548","Hugues Fourage","Fourage","Hugues","H","1965-06-04","Vertou (Loire-Atlantique)","85","Vendée","5","0","Socialiste, écologiste et républicain - membre","SER","Parti socialiste","Commission des lois constitutionnelles de la législation et de l'administration générale de la république - membre|","Groupe d'études parcs nationaux et régionaux - membre|Groupe d'études politique de l'eau - membre|Groupe d'études protection et développement du littoral - membre|Groupe d'études quartiers anciens dégradés - membre|Groupe d'études industries agro-alimentaires et filière agricole - membre|Groupe d'études fillière véhicules industriels - membre|Groupe d'études artisanat et métiers d'art - membre|Groupe d'études mer pêche et souveraineté maritime - membre|Groupe d'études chasse et territoires - membre|Groupe d'études développement de la méthanisation - membre|Groupe d'études abolition universelle de la peine de mort - membre|Groupe d'études politiques de la ruralité - membre|Groupe d'études commerce et artisanat - membre|Groupe d'études santé et numérique - membre|Groupe d'études viticulture - membre|","http://www.huguesfourage.fr|https://twitter.com/HuguesFourage|","20/06/2012 /  / |","Pays de Fontenay-le-Comte / Communauté de communes / membre|Fontenay-le-Comte / Conseil municipal / membre|","En disponibilité","457","hugues-fourage","3","","Pour","Pour","Pour","Pour","Pour","attribution/préfet","Pour","Pour","Contre","Pour","NA","346"
"545","Sylviane Bulteau","Bulteau","Sylviane","F","1964-04-21","Poissy (Yvelines)","85","Vendée","2","0","Socialiste, écologiste et républicain - membre","SER","Parti socialiste","Commission des affaires sociales - membre|","Groupe d'études langues régionales - membre|Groupe d'études politique de l'eau - membre|Groupe d'études enjeux du vieillissement - membre|Groupe d'études pénibilité du travail santé au travail et maladies professionnelles - membre|Groupe d'études tourisme - membre|Groupe d'amitié france-algérie - vice-présidente|Groupe d'études Élevage - membre|Groupe d'études santé à l'école - membre|","http://www.sylvianebulteau.fr|https://twitter.com/sylvianebulteau|","20/06/2012 /  / |","Vendée / Conseil départemental / membre|","Assistante sociale","568","sylviane-bulteau","2","","Pour","Pour","Pour","Pour","Pour","ACOSS/adhérents/ALD/diagnostic/douleur/expertise/HAS/indépendant/installer/malade/médicament/pathologie/pension/pharmacien/PLFSS/recouvrement/RSI/syndrome/thermale/thérapeutique/urssaf","Pour","Pour","Contre","Pour","Hamon","482"
"171","Véronique Besse","Besse","Véronique","F","1963-08-11","La Roche-sur-Yon (Vendée)","85","Vendée","4","0","Députés non inscrits - membre","NI","Debout la France (Debout la République)","Commission des affaires culturelles et de l'éducation - membre|","Groupe d'études action humanitaire - membre|Groupe d'études candidature de la france à l'exposition universelle de - membre|Groupe d'études accidents domestiques - membre|Groupe d'études cancer - membre|Groupe d'études intégration des personnes handicapées - membre|Groupe d'études formation alternée en milieu rural - vice-présidente|Groupe d'études prématurité et nouveau-nés vulnérables - membre|Groupe d'études enjeux du vieillissement - membre|Groupe d'études prévention et lutte contre la toxicomanie - membre|Groupe d'amitié france-roumanie - secrétaire|Groupe d'études protection des animaux - membre|Groupe d'études tourisme - membre|Groupe d'études chrétiens d'orient - co-présidente|Groupe d'études filière brassicole - membre|Groupe d'études famille et adoption - membre|Groupe d'études politiques de la ruralité - membre|Groupe d'études commerce et artisanat - membre|","http://www.veroniquebesse.fr|","20/06/2007 / 19/06/2012 / fin de législature|20/06/2012 /  / |24/01/2005 / 19/06/2007 / fin de législature|","Vendée / Conseil général / Vice-présidente|","Journaliste","325","veronique-besse","2","","Contre","Abstention","Contre","Contre","Contre","irak/syrie/syrien","Contre","Contre","Pour","Pour","Dupont-Aignan","505"
"590","Sylvie Tolmont","Tolmont","Sylvie","F","1962-10-09","Mans (Sarthe)","72","Sarthe","4","0","Socialiste, écologiste et républicain - membre","SER","Parti socialiste","Commission des affaires culturelles et de l'éducation - membre|Délégation de l'assemblée nationale aux droits des femmes et à l'égalité des chances entre les hommes et les femmes - membre|","Groupe d'études antisémitisme - membre|Groupe d'amitié france-croatie - secrétaire|Groupe d'amitié france-grande-bretagne et irlande du nord - secrétaire|Groupe d'études politiques de la ruralité - membre|Groupe d'études automobile - membre|","http://www.sylvietolmont.fr|https://twitter.com/SylvieTolmont|","22/07/2012 /  / |","Fay / Conseil municipal / membre|Bocage Cénomans / Communauté de communes / membre|","Responsable communication","330","sylvie-tolmont","3","","Pour","NA","Pour","Pour","Pour","","Pour","Pour","Contre","Pour","NA","33"
"156","Dominique Le Mèner","Le Mèner","Dominique","H","1958-11-12","Mans (Sarthe)","72","Sarthe","5","0","Les républicains - membre","LR","Les Républicains","Commission des affaires culturelles et de l'éducation - membre|","Groupe d'amitié france-papouasie nouvelle-guinée - président|Groupe d'études illettrisme - membre|Groupe d'études internet et société numérique - membre|Groupe d'études préservation et reconquête de la biodiversité - vice-président|Groupe d'études papier et imprimés - membre|Groupe d'amitié france-estonie - vice-président|","http://www.sarthe.fr|https://twitter.com/lemenerdom|http://dominique.le-mener.over-blog.com|","20/06/2007 / 19/06/2012 / fin de législature|20/06/2012 /  / |19/06/2002 / 19/06/2007 / fin de législature|","Sarthe / Conseil départemental / président|","Juriste","8","dominique-le-mener","2","","NA","Contre","Contre","Contre","Contre","","Contre","Contre","Pour","Pour","Fillon","201"
"290","Marietta Karamanli","Karamanli","Marietta","F","1964-12-18","Athènes (Grèce)","72","Sarthe","2","0","Socialiste, écologiste et républicain - membre","SER","Parti socialiste","Commission des affaires européennes - vice-présidente|Comité d'évaluation et de contrôle des politiques publiques - membre|Commission des lois constitutionnelles de la législation et de l'administration générale de la république - membre|Mission d'information sur l'avenir institutionnel de la nouvelle-calédonie - membre|","Groupe d'études politique de l'eau - membre|Groupe d'études coordination des droits européens - membre|Groupe d'études droits de l'enfant et de l'adolescent et protection de la jeunesse - membre|Groupe d'études plasturgie - membre|Groupe d'études internet et société numérique - membre|Groupe d'études villes et banlieues - membre|Groupe d'études assurances - co-présidente|Groupe d'études sahara occidental - membre|Groupe d'études statut des travailleurs mobiles en europe - membre|Groupe d'études industries agro-alimentaires et filière agricole - membre|Groupe d'études enjeux du vieillissement - membre|Groupe d'études cinéma et production audiovisuelle - membre|Groupe d'études automobile - membre|Groupe d'études prisons et conditions carcérales - membre|Groupe d'études surendettement - membre|Groupe d'amitié france-chypre - vice-présidente|Groupe d'amitié france-grèce - présidente|","http://mariettakaramanli.fr |http://mariettakaramanli.fr|https://twitter.com/karamanli72|","20/06/2007 / 19/06/2012 / fin de législature|20/06/2012 /  / |","Mans / Conseil municipal / membre|Mans Métropole /  / vice-présidente|","Professeur du secondaire","334","marietta-karamanli","3","","Pour","Pour","Pour","Pour","Pour","arme/audiovisuel/automatique/CETA/cinéma/détention/europol/électeur/électorale/film/frais/frais d'itinérance/frontex/grèce/itinérance/mer/migratoire/nationaux/producteur/réfugié/révision/salle/schengen/SIS/territorialité/transatlantique/transnationale/traçabilité/turquie/visibilité","Pour","Pour","Contre","Pour","NA","269"
"504","Françoise Dubois","Dubois","Françoise","F","1947-12-06","Coulans sur Gée (Sarthe)","72","Sarthe","1","0","Socialiste, écologiste et républicain - membre","SER","Parti socialiste","Commission du développement durable et de l'aménagement du territoire - membre|","Groupe d'études aménagement du territoire - membre|Groupe d'études développement de la méthanisation - membre|Groupe d'études politique de l'eau - membre|Groupe d'études commerce et artisanat - vice-présidente|Groupe d'études automobile - membre|Groupe d'études politiques de la ruralité - membre|Groupe d'amitié france-equateur - secrétaire|Groupe d'études pme - membre|","http://www.francoisedubois.fr|https://twitter.com/fdubois2012|","20/06/2012 /  / |","Mans / Conseil municipal / membre|Mans Métropole /  / membre|","Retraitée de l'enseignement","381","francoise-dubois","3","","Pour","Pour","Pour","Pour","Pour","abattage/abattoir/animal/animaux/aquatique/bien-être/bien-être/animal/continuité/ferme/image/moulin/propriétaire/prostituée/rituel/sacrificateur/souffrance/viande/vidéo","Pour","Pour","Contre","Pour","Hamon","362"
"364","Guy-Michel Chauveau","Chauveau","Guy-Michel","H","1944-09-25","Irais (Deux-Sèvres)","72","Sarthe","3","0","Socialiste, écologiste et républicain - membre","SER","Parti socialiste","Commission des affaires étrangères - membre|","Groupe d'études aménagement du territoire - membre|Groupe d'études patrimoine - membre|Groupe d'études politique de l'eau - membre|Groupe d'études industrie du drone - membre|Groupe d'études tourisme - membre|Groupe d'études espace - membre|Groupe d'amitié france-géorgie - vice-président|Groupe d'études industrie aéronautique - membre|Groupe d'études coopération et aide au développement - membre|Groupe d'études Élevage - membre|Groupe d'études industrie de défense - membre|Groupe d'études responsabilité sociale des entreprises - membre|Groupe d'études viticulture - membre|Groupe d'études sahara occidental - membre|Groupe d'études automobile - membre|Groupe d'amitié france-mali - vice-président|Groupe d'études politiques de la ruralité - membre|Groupe d'études presse - membre|","http://gm-chauveau.fr|https://twitter.com/GMChauveau|","20/06/2012 /  / |02/07/1981 / 01/04/1986 / fin de législature|01/06/1997 / 18/06/2002 / fin de législature|02/04/1986 / 14/05/1988 / fin de législature|13/06/1988 / 01/04/1993 / fin de législature|","La Flèche (Sarthe) / Conseil municipal / maire|","Professeur","560","guy-michel-chauveau","2","","Pour","Pour","Pour","Pour","Pour","afrique/ukraine","Pour","Pour","Contre","Pour","Hamon","448"
