id,Sexe,Nom,Prenom,Etiquette,Elu1988,Elu1993,Elu1997,Elu2002,Elu2007,Elu2012,Elu2017,Nombre_presentation_1988,Nombre_presentation_1993,Nombre_presentation_1997,Nombre_presentation_2002,Nombre_presentation_2007,Nombre_presentation_2012,Nombre_presentation_2017,Nombre_Elu_1988,Nombre_Elu_1993,Nombre_Elu_1997,Nombre_Elu_2002,Nombre_Elu_2007,Nombre_Elu_2012,Nombre_Elu_2017,1988,1988_RES,1993,1993_RES,1997,1997_RES,2002,2002_RES,2007,2007_RES,2012,2012_RES,2017,2017_RES,Phrase_pres_cand,Phrase_pres_parti,Age,Site_perso,Twitter,Facebook,Img_cand,PodCast
0,F,ABECASSIS,EVELINE,LUTTE OUVRIERE,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,C3_72,1.67,C3_72,1.28,,,,,,,,,,,,
1,F,ADAM,CLAUDETTE,PARTI SOCIALISTE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C4_85,19.6,,,,,,,,,,,,,,,,,,,,
2,F,ADRIEN-BIGEON,LAURENCE,PARTI SOCIALISTE,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,C5_49,20.11,C5_49,34.96,,,,,,,,,,
3,M,ALIBERT,GUILLAUME,CENTRISTE DISSIDENT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,C6_49,0.62,,,,,,,,,,
4,F,ALIBERT,MARTINE,LES NOUVEAUX ECOLOGISTES DU RASSEMBLEMENT NATURE ET ANIMAUX,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,C5_85,3.44,,,,,,,,,,,,,,,,,,
5,M,ALIZON,MARCEL,ASSOCIATION PARTI SOCIALISTE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,C6_44,4.68,,,,,,,,,,,,,,,,,,
6,M,ALLAIN,JEAN MARC,CENTRE DROIT,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,C3_53,9.84,C3_53,12.69,,,,,,,,,,,,,,
7,F,ALLAIRE,MARIE-ELISABETH,LES VERTS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C6_44,2.49,,,,,,,,,,,,,,
8,M,ALPHANDERY,EDMOND,UNION DU RASSEMBLEMENT ET DU CENTRE,C3,C3,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,C3_49,59.41,C3_49,53.64,,,,,,,,,,,,,,,,,,
9,M,AMDJAHDI,MOHAMMED,CITOYENNETE POUR TOUS DE MAINE-ET-LOIRE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C1_49,1.06,,,,,,,,,,,,,,
