DATE;FBFANSCHANGE_LE_PEN;FBFANSCHANGE_FILLON;FBFANSCHANGE_MELENCHON;FBFANSCHANGE_MACRON;FBFANSCHANGE_HAMON
2017-02-01;0.0705569;0.39993;0.25037;1.31585;1.40934
2017-02-02;0.0559312;0.437359;0.257883;1.3073;1.4965
2017-02-03;0.056154;0.966695;0.288895;0.970806;0.990443
2017-02-04;0.0696664;0.803517;0.368212;2.23323;1.17081
2017-02-05;0.386155;0.474337;0.774361;1.67134;2.99109
2017-02-06;0.2367;1.74168;0.388207;0.927686;1.09454
2017-02-07;0.16107;0.820809;0.312928;0.869421;4.68206
2017-02-08;0.0806575;0.574656;0.248222;0.851408;5.70038
2017-02-09;0.0738834;0.320873;0.27372;0.79989;1.99514
2017-02-10;0.115897;0.312941;0.262742;1.3866;1.05035
2017-02-11;0.106053;0.243484;0.181505;0.940887;0.699407
2017-02-12;0.1184;0.201327;0.196917;0.720416;0.611805
2017-02-13;0.101139;0.205972;0.184825;0.578484;0.659589
2017-02-14;0.0654109;0.18395;0.232142;0.464118;0.409335
2017-02-15;0.137073;0.222778;0.228383;0.59237;0.495611
2017-02-16;0.1398;0.344897;0.21103;1.69195;0.539785
2017-02-17;0.104599;0.267609;0.183403;1.81859;0.721543
2017-02-18;0.0960179;0.222709;0.174226;1.20843;0.583922
2017-02-19;0.104639;0.348788;0.248332;0.662088;0.570093
2017-02-20;0.114394;0.259707;0.24119;0.37451;0.411174
2017-02-21;0.576946;0.220868;0.186703;0.493791;0.504111
2017-02-22;0.532803;0.180184;0.141164;1.09411;0.468354
2017-02-23;0.262124;0.168245;0.207071;1.37206;0.503969
2017-02-24;0.128473;0.182018;0.181039;1.36142;0.539833
2017-02-25;0.0907049;0.225179;0.115613;1.02424;0.27665
2017-02-26;0.16185;0.198427;0.13305;0.852438;0.42199
2017-02-27;0.108539;0.186159;0.134073;0.576096;0.38694
2017-02-28;0.151172;0.186161;0.16804;0.611491;0.344591
2017-03-01;0.18657;0.746741;0.139051;0.69932;0.482461
2017-03-02;0.280832;0.403415;0.131094;2.09307;0.386103
2017-03-03;0.19394;0.602347;0.115862;2.51752;0.355677
2017-03-04;0.171233;0.647297;0.150282;1.42418;0.47812
2017-03-05;0.0966572;1.26928;0.164928;1.26432;1.01891
2017-03-06;0.116263;0.743435;0.13125;0.800164;0.631052
2017-03-07;0.118537;0.540141;0.132858;0.62105;0.583257
2017-03-08;0.0436366;0.308035;0.136532;0.563439;0.475719
2017-03-09;0.0266997;0.216283;0.094939;0.525939;0.721963
2017-03-10;0.0268529;0.211862;0.0920419;0.396295;0.831387
2017-03-11;0.0370231;0.164068;0.146571;0.36848;0.385843
2017-03-12;0.0632043;0.189075;0.254244;0.493055;0.33316
2017-03-13;0.0542781;0.196581;0.16789;0.629922;0.256587
2017-03-14;0.0644903;0.173633;0.1839;0.775409;0.245177
2017-03-15;0.0323043;0.139058;0.110899;0.415851;0.17807
