DATE,GEONAME,SCORE
2017-02-01,Alsace,62
2017-02-01,Aquitaine,81
2017-02-01,Auvergne,76
2017-02-01,Brittany,84
2017-02-01,Burgundy,69
2017-02-01,Centre-Val de Loire,65
2017-02-01,Champagne-Ardenne,50
2017-02-01,Corsica,76
2017-02-01,Franche-Comté,100
2017-02-01,Languedoc-Roussillon,73
2017-02-01,Limousin,47
2017-02-01,Lorraine,74
2017-02-01,Lower Normandy,78
2017-02-01,Midi-Pyrénées,81
2017-02-01,Nord-Pas-de-Calais,79
2017-02-01,Pays de la Loire,100
2017-02-01,Picardy,61
2017-02-01,Poitou-Charentes,76
2017-02-01,Provence-Alpes-Côte d'Azur,56
2017-02-01,Rhone-Alpes,70
2017-02-01,Upper Normandy,65
2017-02-01,Île-de-France,83
2017-02-02,Alsace,61
2017-02-02,Aquitaine,80
2017-02-02,Auvergne,64
2017-02-02,Brittany,100
2017-02-02,Burgundy,96
2017-02-02,Centre-Val de Loire,63
2017-02-02,Champagne-Ardenne,71
2017-02-02,Corsica,33
2017-02-02,Franche-Comté,52
2017-02-02,Languedoc-Roussillon,74
2017-02-02,Limousin,88
2017-02-02,Lorraine,61
2017-02-02,Lower Normandy,64
2017-02-02,Midi-Pyrénées,87
2017-02-02,Nord-Pas-de-Calais,66
2017-02-02,Pays de la Loire,95
2017-02-02,Picardy,60
2017-02-02,Poitou-Charentes,71
2017-02-02,Provence-Alpes-Côte d'Azur,70
2017-02-02,Rhone-Alpes,71
2017-02-02,Upper Normandy,79
2017-02-02,Île-de-France,77
2017-02-03,Alsace,52
2017-02-03,Aquitaine,55
2017-02-03,Auvergne,86
2017-02-03,Brittany,100
2017-02-03,Burgundy,84
2017-02-03,Centre-Val de Loire,67
2017-02-03,Champagne-Ardenne,59
2017-02-03,Corsica,57
2017-02-03,Franche-Comté,69
2017-02-03,Languedoc-Roussillon,52
2017-02-03,Limousin,75
2017-02-03,Lorraine,49
2017-02-03,Lower Normandy,100
2017-02-03,Midi-Pyrénées,73
2017-02-03,Nord-Pas-de-Calais,63
2017-02-03,Pays de la Loire,82
2017-02-03,Picardy,41
2017-02-03,Poitou-Charentes,71
2017-02-03,Provence-Alpes-Côte d'Azur,52
2017-02-03,Rhone-Alpes,74
2017-02-03,Upper Normandy,55
2017-02-03,Île-de-France,77
2017-02-04,Alsace,53
2017-02-04,Aquitaine,70
2017-02-04,Auvergne,82
2017-02-04,Brittany,100
2017-02-04,Burgundy,67
2017-02-04,Centre-Val de Loire,76
2017-02-04,Champagne-Ardenne,72
2017-02-04,Corsica,49
2017-02-04,Franche-Comté,63
2017-02-04,Languedoc-Roussillon,62
2017-02-04,Limousin,22
2017-02-04,Lorraine,61
2017-02-04,Lower Normandy,84
2017-02-04,Midi-Pyrénées,84
2017-02-04,Nord-Pas-de-Calais,47
2017-02-04,Pays de la Loire,88
2017-02-04,Picardy,51
2017-02-04,Poitou-Charentes,72
2017-02-04,Provence-Alpes-Côte d'Azur,71
2017-02-04,Rhone-Alpes,72
2017-02-04,Upper Normandy,84
2017-02-04,Île-de-France,80
2017-02-05,Alsace,72
