DATE,GEONAME,SCORE
2017-02-01,Alsace,40
2017-02-01,Aquitaine,51
2017-02-01,Auvergne,61
2017-02-01,Brittany,78
2017-02-01,Burgundy,100
2017-02-01,Centre-Val de Loire,61
2017-02-01,Champagne-Ardenne,48
2017-02-01,Corsica,79
2017-02-01,Franche-Comté,79
2017-02-01,Languedoc-Roussillon,54
2017-02-01,Limousin,42
2017-02-01,Lorraine,44
2017-02-01,Lower Normandy,42
2017-02-01,Midi-Pyrénées,83
2017-02-01,Nord-Pas-de-Calais,74
2017-02-01,Pays de la Loire,61
2017-02-01,Picardy,58
2017-02-01,Poitou-Charentes,61
2017-02-01,Provence-Alpes-Côte d'Azur,67
2017-02-01,Rhone-Alpes,68
2017-02-01,Upper Normandy,71
2017-02-01,Île-de-France,68
2017-02-02,Alsace,46
2017-02-02,Aquitaine,49
2017-02-02,Auvergne,61
2017-02-02,Brittany,64
2017-02-02,Burgundy,63
2017-02-02,Centre-Val de Loire,57
2017-02-02,Champagne-Ardenne,59
2017-02-02,Corsica,100
2017-02-02,Franche-Comté,95
2017-02-02,Languedoc-Roussillon,56
2017-02-02,Limousin,31
2017-02-02,Lorraine,59
2017-02-02,Lower Normandy,45
2017-02-02,Midi-Pyrénées,57
2017-02-02,Nord-Pas-de-Calais,58
2017-02-02,Pays de la Loire,51
2017-02-02,Picardy,68
2017-02-02,Poitou-Charentes,47
2017-02-02,Provence-Alpes-Côte d'Azur,71
2017-02-02,Rhone-Alpes,82
2017-02-02,Upper Normandy,56
2017-02-02,Île-de-France,62
2017-02-03,Alsace,44
2017-02-03,Aquitaine,52
2017-02-03,Auvergne,89
2017-02-03,Brittany,56
2017-02-03,Burgundy,31
2017-02-03,Centre-Val de Loire,42
2017-02-03,Champagne-Ardenne,40
2017-02-03,Corsica,100
2017-02-03,Franche-Comté,75
2017-02-03,Languedoc-Roussillon,64
2017-02-03,Limousin,63
2017-02-03,Lorraine,55
2017-02-03,Lower Normandy,48
2017-02-03,Midi-Pyrénées,56
2017-02-03,Nord-Pas-de-Calais,55
2017-02-03,Pays de la Loire,51
2017-02-03,Picardy,59
2017-02-03,Poitou-Charentes,27
2017-02-03,Provence-Alpes-Côte d'Azur,59
2017-02-03,Rhone-Alpes,79
2017-02-03,Upper Normandy,52
2017-02-03,Île-de-France,56
2017-02-04,Alsace,63
2017-02-04,Aquitaine,76
2017-02-04,Auvergne,87
2017-02-04,Brittany,96
2017-02-04,Burgundy,72
2017-02-04,Centre-Val de Loire,57
2017-02-04,Champagne-Ardenne,67
2017-02-04,Corsica,61
2017-02-04,Franche-Comté,86
2017-02-04,Languedoc-Roussillon,91
2017-02-04,Limousin,97
2017-02-04,Lorraine,59
2017-02-04,Lower Normandy,64
2017-02-04,Midi-Pyrénées,91
2017-02-04,Nord-Pas-de-Calais,68
2017-02-04,Pays de la Loire,90
2017-02-04,Picardy,67
2017-02-04,Poitou-Charentes,77
2017-02-04,Provence-Alpes-Côte d'Azur,82
2017-02-04,Rhone-Alpes,100
2017-02-04,Upper Normandy,88
2017-02-04,Île-de-France,77
2017-02-05,Alsace,55
2017-02-05,Aquitaine,64
2017-02-05,Auvergne,100
2017-02-05,Brittany,65
2017-02-05,Burgundy,55
