DATE,GEONAME,SCORE
2017-02-01,Alsace,67
2017-02-01,Aquitaine,92
2017-02-01,Auvergne,99
2017-02-01,Brittany,92
2017-02-01,Burgundy,62
2017-02-01,Centre-Val de Loire,72
2017-02-01,Champagne-Ardenne,58
2017-02-01,Corsica,21
2017-02-01,Franche-Comté,74
2017-02-01,Languedoc-Roussillon,81
2017-02-01,Limousin,89
2017-02-01,Lorraine,70
2017-02-01,Lower Normandy,100
2017-02-01,Midi-Pyrénées,83
2017-02-01,Nord-Pas-de-Calais,74
2017-02-01,Pays de la Loire,67
2017-02-01,Picardy,61
2017-02-01,Poitou-Charentes,94
2017-02-01,Provence-Alpes-Côte d'Azur,80
2017-02-01,Rhone-Alpes,95
2017-02-01,Upper Normandy,75
2017-02-01,Île-de-France,97
2017-02-02,Alsace,52
2017-02-02,Aquitaine,84
2017-02-02,Auvergne,81
2017-02-02,Brittany,89
2017-02-02,Burgundy,70
2017-02-02,Centre-Val de Loire,78
2017-02-02,Champagne-Ardenne,81
2017-02-02,Corsica,75
2017-02-02,Franche-Comté,52
2017-02-02,Languedoc-Roussillon,77
2017-02-02,Limousin,75
2017-02-02,Lorraine,55
2017-02-02,Lower Normandy,99
2017-02-02,Midi-Pyrénées,80
2017-02-02,Nord-Pas-de-Calais,57
2017-02-02,Pays de la Loire,59
2017-02-02,Picardy,77
2017-02-02,Poitou-Charentes,62
2017-02-02,Provence-Alpes-Côte d'Azur,78
2017-02-02,Rhone-Alpes,100
2017-02-02,Upper Normandy,58
2017-02-02,Île-de-France,92
2017-02-03,Alsace,42
2017-02-03,Aquitaine,57
2017-02-03,Auvergne,55
2017-02-03,Brittany,60
2017-02-03,Burgundy,55
2017-02-03,Centre-Val de Loire,50
2017-02-03,Champagne-Ardenne,50
2017-02-03,Corsica,100
2017-02-03,Franche-Comté,53
2017-02-03,Languedoc-Roussillon,66
2017-02-03,Limousin,52
2017-02-03,Lorraine,41
2017-02-03,Lower Normandy,47
2017-02-03,Midi-Pyrénées,54
2017-02-03,Nord-Pas-de-Calais,43
2017-02-03,Pays de la Loire,56
2017-02-03,Picardy,55
2017-02-03,Poitou-Charentes,49
2017-02-03,Provence-Alpes-Côte d'Azur,62
2017-02-03,Rhone-Alpes,80
2017-02-03,Upper Normandy,43
2017-02-03,Île-de-France,58
2017-02-04,Alsace,53
2017-02-04,Aquitaine,70
2017-02-04,Auvergne,83
2017-02-04,Brittany,89
2017-02-04,Burgundy,56
2017-02-04,Centre-Val de Loire,76
2017-02-04,Champagne-Ardenne,64
2017-02-04,Corsica,81
2017-02-04,Franche-Comté,71
2017-02-04,Languedoc-Roussillon,85
2017-02-04,Limousin,59
2017-02-04,Lorraine,53
2017-02-04,Lower Normandy,71
2017-02-04,Midi-Pyrénées,74
2017-02-04,Nord-Pas-de-Calais,59
2017-02-04,Pays de la Loire,67
2017-02-04,Picardy,61
2017-02-04,Poitou-Charentes,71
2017-02-04,Provence-Alpes-Côte d'Azur,76
2017-02-04,Rhone-Alpes,100
2017-02-04,Upper Normandy,55
2017-02-04,Île-de-France,76
2017-02-05,Alsace,59
2017-02-05,Aquitaine,89
2017-02-05,Auvergne,94
2017-02-05,Brittany,88
2017-02-05,Burgundy,64
2017-02-05,Centre-Val de Loire,90
2017-02-05,Champagne-Ardenne,52
2017-02-05,Corsica,87
2017-02-05,Franche-Comté,70
2017-02-05,Languedoc-Roussillon,81
2017-02-05,Limousin,51
2017-02-05,Lorraine,66
2017-02-05,Lower Normandy,89
2017-02-05,Midi-Pyrénées,83
2017-02-05,Nord-Pas-de-Calais,71
2017-02-05,Pays de la Loire,69
2017-02-05,Picardy,53
2017-02-05,Poitou-Charentes,83
2017-02-05,Provence-Alpes-Côte d'Azur,81
2017-02-05,Rhone-Alpes,100
2017-02-05,Upper Normandy,86
2017-02-05,Île-de-France,81
2017-02-06,Alsace,65
2017-02-06,Aquitaine,86
2017-02-06,Auvergne,100
2017-02-06,Brittany,94
2017-02-06,Burgundy,74
2017-02-06,Centre-Val de Loire,67
2017-02-06,Champagne-Ardenne,73
2017-02-06,Corsica,94
2017-02-06,Franche-Comté,73
2017-02-06,Languedoc-Roussillon,86
2017-02-06,Limousin,44
2017-02-06,Lorraine,61
2017-02-06,Lower Normandy,96
2017-02-06,Midi-Pyrénées,78
2017-02-06,Nord-Pas-de-Calais,57
2017-02-06,Pays de la Loire,82
2017-02-06,Picardy,69
2017-02-06,Poitou-Charentes,79
2017-02-06,Provence-Alpes-Côte d'Azur,91
2017-02-06,Rhone-Alpes,97
2017-02-06,Upper Normandy,59
2017-02-06,Île-de-France,97
2017-02-07,Alsace,77
2017-02-07,Aquitaine,96
2017-02-07,Auvergne,77
2017-02-07,Brittany,86
2017-02-07,Burgundy,97
2017-02-07,Centre-Val de Loire,71
2017-02-07,Champagne-Ardenne,89
2017-02-07,Corsica,90
2017-02-07,Franche-Comté,78
2017-02-07,Languedoc-Roussillon,84
2017-02-07,Limousin,66
2017-02-07,Lorraine,83
2017-02-07,Lower Normandy,64
2017-02-07,Midi-Pyrénées,100
2017-02-07,Nord-Pas-de-Calais,60
2017-02-07,Pays de la Loire,84
2017-02-07,Picardy,62
2017-02-07,Poitou-Charentes,76
2017-02-07,Provence-Alpes-Côte d'Azur,88
2017-02-07,Rhone-Alpes,90
2017-02-07,Upper Normandy,73
2017-02-07,Île-de-France,92
2017-02-08,Alsace,58
2017-02-08,Aquitaine,93
2017-02-08,Auvergne,61
2017-02-08,Brittany,84
2017-02-08,Burgundy,84
2017-02-08,Centre-Val de Loire,82
2017-02-08,Champagne-Ardenne,100
2017-02-08,Corsica,73
2017-02-08,Franche-Comté,78
2017-02-08,Languedoc-Roussillon,95
2017-02-08,Limousin,51
2017-02-08,Lorraine,70
2017-02-08,Lower Normandy,56
2017-02-08,Midi-Pyrénées,91
2017-02-08,Nord-Pas-de-Calais,62
2017-02-08,Pays de la Loire,77
2017-02-08,Picardy,81
2017-02-08,Poitou-Charentes,79
2017-02-08,Provence-Alpes-Côte d'Azur,85
2017-02-08,Rhone-Alpes,89
2017-02-08,Upper Normandy,58
2017-02-08,Île-de-France,81
2017-02-09,Alsace,66
2017-02-09,Aquitaine,98
2017-02-09,Auvergne,71
2017-02-09,Brittany,81
2017-02-09,Burgundy,65
2017-02-09,Centre-Val de Loire,92
2017-02-09,Champagne-Ardenne,73
2017-02-09,Corsica,73
2017-02-09,Franche-Comté,100
2017-02-09,Languedoc-Roussillon,93
2017-02-09,Limousin,67
2017-02-09,Lorraine,62
2017-02-09,Lower Normandy,77
2017-02-09,Midi-Pyrénées,98
2017-02-09,Nord-Pas-de-Calais,59
2017-02-09,Pays de la Loire,65
2017-02-09,Picardy,98
2017-02-09,Poitou-Charentes,71
2017-02-09,Provence-Alpes-Côte d'Azur,84
2017-02-09,Rhone-Alpes,89
2017-02-09,Upper Normandy,84
2017-02-09,Île-de-France,82
2017-02-10,Alsace,41
2017-02-10,Aquitaine,59
2017-02-10,Auvergne,39
2017-02-10,Brittany,54
2017-02-10,Burgundy,29
2017-02-10,Centre-Val de Loire,61
2017-02-10,Champagne-Ardenne,32
2017-02-10,Corsica,100
2017-02-10,Franche-Comté,49
2017-02-10,Languedoc-Roussillon,48
2017-02-10,Limousin,43
2017-02-10,Lorraine,30
2017-02-10,Lower Normandy,57
2017-02-10,Midi-Pyrénées,59
2017-02-10,Nord-Pas-de-Calais,32
2017-02-10,Pays de la Loire,55
2017-02-10,Picardy,40
2017-02-10,Poitou-Charentes,42
2017-02-10,Provence-Alpes-Côte d'Azur,47
2017-02-10,Rhone-Alpes,54
2017-02-10,Upper Normandy,39
2017-02-10,Île-de-France,55
2017-02-11,Alsace,53
2017-02-11,Aquitaine,78
2017-02-11,Auvergne,58
2017-02-11,Brittany,73
2017-02-11,Burgundy,58
2017-02-11,Centre-Val de Loire,70
2017-02-11,Champagne-Ardenne,41
2017-02-11,Corsica,100
2017-02-11,Franche-Comté,67
2017-02-11,Languedoc-Roussillon,58
2017-02-11,Limousin,42
2017-02-11,Lorraine,58
2017-02-11,Lower Normandy,80
2017-02-11,Midi-Pyrénées,86
2017-02-11,Nord-Pas-de-Calais,56
2017-02-11,Pays de la Loire,71
2017-02-11,Picardy,35
2017-02-11,Poitou-Charentes,56
2017-02-11,Provence-Alpes-Côte d'Azur,74
2017-02-11,Rhone-Alpes,75
2017-02-11,Upper Normandy,56
2017-02-11,Île-de-France,71
2017-02-12,Alsace,46
2017-02-12,Aquitaine,83
2017-02-12,Auvergne,84
2017-02-12,Brittany,80
2017-02-12,Burgundy,62
2017-02-12,Centre-Val de Loire,100
2017-02-12,Champagne-Ardenne,74
2017-02-12,Corsica,52
2017-02-12,Franche-Comté,47
2017-02-12,Languedoc-Roussillon,73
2017-02-12,Limousin,74
2017-02-12,Lorraine,54
2017-02-12,Lower Normandy,76
2017-02-12,Midi-Pyrénées,65
2017-02-12,Nord-Pas-de-Calais,58
2017-02-12,Pays de la Loire,68
2017-02-12,Picardy,45
2017-02-12,Poitou-Charentes,90
2017-02-12,Provence-Alpes-Côte d'Azur,94
2017-02-12,Rhone-Alpes,68
2017-02-12,Upper Normandy,71
2017-02-12,Île-de-France,84
2017-02-13,Alsace,64
2017-02-13,Aquitaine,75
2017-02-13,Auvergne,93
2017-02-13,Brittany,85
2017-02-13,Burgundy,66
2017-02-13,Centre-Val de Loire,64
2017-02-13,Champagne-Ardenne,38
2017-02-13,Corsica,100
2017-02-13,Franche-Comté,69
2017-02-13,Languedoc-Roussillon,74
2017-02-13,Limousin,86
2017-02-13,Lorraine,59
2017-02-13,Lower Normandy,48
2017-02-13,Midi-Pyrénées,59
2017-02-13,Nord-Pas-de-Calais,59
2017-02-13,Pays de la Loire,52
2017-02-13,Picardy,54
2017-02-13,Poitou-Charentes,93
2017-02-13,Provence-Alpes-Côte d'Azur,81
2017-02-13,Rhone-Alpes,79
2017-02-13,Upper Normandy,48
2017-02-13,Île-de-France,74
2017-02-14,Alsace,51
2017-02-14,Aquitaine,82
2017-02-14,Auvergne,92
2017-02-14,Brittany,94
2017-02-14,Burgundy,47
2017-02-14,Centre-Val de Loire,59
2017-02-14,Champagne-Ardenne,77
2017-02-14,Corsica,98
2017-02-14,Franche-Comté,51
2017-02-14,Languedoc-Roussillon,100
2017-02-14,Limousin,59
2017-02-14,Lorraine,55
2017-02-14,Lower Normandy,73
2017-02-14,Midi-Pyrénées,78
2017-02-14,Nord-Pas-de-Calais,54
2017-02-14,Pays de la Loire,57
2017-02-14,Picardy,61
2017-02-14,Poitou-Charentes,75
2017-02-14,Provence-Alpes-Côte d'Azur,79
2017-02-14,Rhone-Alpes,75
2017-02-14,Upper Normandy,57
2017-02-14,Île-de-France,87
2017-02-15,Alsace,44
2017-02-15,Aquitaine,72
2017-02-15,Auvergne,32
2017-02-15,Brittany,72
2017-02-15,Burgundy,38
2017-02-15,Centre-Val de Loire,46
2017-02-15,Champagne-Ardenne,35
2017-02-15,Corsica,100
2017-02-15,Franche-Comté,57
2017-02-15,Languedoc-Roussillon,64
2017-02-15,Limousin,43
2017-02-15,Lorraine,47
2017-02-15,Lower Normandy,60
2017-02-15,Midi-Pyrénées,56
2017-02-15,Nord-Pas-de-Calais,48
2017-02-15,Pays de la Loire,57
2017-02-15,Picardy,35
2017-02-15,Poitou-Charentes,35
2017-02-15,Provence-Alpes-Côte d'Azur,65
2017-02-15,Rhone-Alpes,69
2017-02-15,Upper Normandy,50
2017-02-15,Île-de-France,68
2017-02-16,Alsace,57
2017-02-16,Aquitaine,88
2017-02-16,Auvergne,75
2017-02-16,Brittany,95
2017-02-16,Burgundy,71
2017-02-16,Centre-Val de Loire,69
2017-02-16,Champagne-Ardenne,59
2017-02-16,Corsica,87
2017-02-16,Franche-Comté,69
2017-02-16,Languedoc-Roussillon,80
2017-02-16,Limousin,66
2017-02-16,Lorraine,68
2017-02-16,Lower Normandy,66
2017-02-16,Midi-Pyrénées,74
2017-02-16,Nord-Pas-de-Calais,44
2017-02-16,Pays de la Loire,70
2017-02-16,Picardy,50
2017-02-16,Poitou-Charentes,71
2017-02-16,Provence-Alpes-Côte d'Azur,100
2017-02-16,Rhone-Alpes,75
2017-02-16,Upper Normandy,69
2017-02-16,Île-de-France,93
2017-02-17,Alsace,57
2017-02-17,Aquitaine,79
2017-02-17,Auvergne,90
2017-02-17,Brittany,75
2017-02-17,Burgundy,71
2017-02-17,Centre-Val de Loire,60
2017-02-17,Champagne-Ardenne,47
2017-02-17,Corsica,63
2017-02-17,Franche-Comté,59
2017-02-17,Languedoc-Roussillon,68
2017-02-17,Limousin,66
2017-02-17,Lorraine,47
2017-02-17,Lower Normandy,70
2017-02-17,Midi-Pyrénées,66
2017-02-17,Nord-Pas-de-Calais,51
2017-02-17,Pays de la Loire,67
2017-02-17,Picardy,61
2017-02-17,Poitou-Charentes,77
2017-02-17,Provence-Alpes-Côte d'Azur,100
2017-02-17,Rhone-Alpes,73
2017-02-17,Upper Normandy,50
2017-02-17,Île-de-France,75
2017-02-18,Alsace,44
2017-02-18,Aquitaine,60
2017-02-18,Auvergne,64
2017-02-18,Brittany,70
2017-02-18,Burgundy,56
2017-02-18,Centre-Val de Loire,52
2017-02-18,Champagne-Ardenne,38
2017-02-18,Corsica,89
2017-02-18,Franche-Comté,49
2017-02-18,Languedoc-Roussillon,65
2017-02-18,Limousin,51
2017-02-18,Lorraine,51
2017-02-18,Lower Normandy,50
2017-02-18,Midi-Pyrénées,67
2017-02-18,Nord-Pas-de-Calais,40
2017-02-18,Pays de la Loire,64
2017-02-18,Picardy,56
2017-02-18,Poitou-Charentes,58
2017-02-18,Provence-Alpes-Côte d'Azur,100
2017-02-18,Rhone-Alpes,73
2017-02-18,Upper Normandy,41
2017-02-18,Île-de-France,71
2017-02-19,Alsace,43
2017-02-19,Aquitaine,73
2017-02-19,Auvergne,63
2017-02-19,Brittany,73
2017-02-19,Burgundy,44
2017-02-19,Centre-Val de Loire,67
2017-02-19,Champagne-Ardenne,46
2017-02-19,Corsica,71
2017-02-19,Franche-Comté,50
2017-02-19,Languedoc-Roussillon,83
2017-02-19,Limousin,86
2017-02-19,Lorraine,72
2017-02-19,Lower Normandy,69
2017-02-19,Midi-Pyrénées,80
2017-02-19,Nord-Pas-de-Calais,61
2017-02-19,Pays de la Loire,91
2017-02-19,Picardy,63
2017-02-19,Poitou-Charentes,75
2017-02-19,Provence-Alpes-Côte d'Azur,100
2017-02-19,Rhone-Alpes,80
2017-02-19,Upper Normandy,53
2017-02-19,Île-de-France,86
2017-02-20,Alsace,68
2017-02-20,Aquitaine,69
2017-02-20,Auvergne,73
2017-02-20,Brittany,87
2017-02-20,Burgundy,44
2017-02-20,Centre-Val de Loire,62
2017-02-20,Champagne-Ardenne,96
2017-02-20,Corsica,62
2017-02-20,Franche-Comté,60
2017-02-20,Languedoc-Roussillon,91
2017-02-20,Limousin,31
2017-02-20,Lorraine,86
2017-02-20,Lower Normandy,67
2017-02-20,Midi-Pyrénées,100
2017-02-20,Nord-Pas-de-Calais,71
2017-02-20,Pays de la Loire,92
2017-02-20,Picardy,46
2017-02-20,Poitou-Charentes,54
2017-02-20,Provence-Alpes-Côte d'Azur,88
2017-02-20,Rhone-Alpes,76
2017-02-20,Upper Normandy,57
2017-02-20,Île-de-France,87
2017-02-21,Alsace,70
2017-02-21,Aquitaine,76
2017-02-21,Auvergne,66
2017-02-21,Brittany,87
2017-02-21,Burgundy,60
2017-02-21,Centre-Val de Loire,71
2017-02-21,Champagne-Ardenne,72
2017-02-21,Corsica,100
2017-02-21,Franche-Comté,72
2017-02-21,Languedoc-Roussillon,70
2017-02-21,Limousin,93
2017-02-21,Lorraine,51
2017-02-21,Lower Normandy,92
2017-02-21,Midi-Pyrénées,77
2017-02-21,Nord-Pas-de-Calais,63
2017-02-21,Pays de la Loire,86
2017-02-21,Picardy,64
2017-02-21,Poitou-Charentes,73
2017-02-21,Provence-Alpes-Côte d'Azur,72
2017-02-21,Rhone-Alpes,85
2017-02-21,Upper Normandy,61
2017-02-21,Île-de-France,86
2017-02-22,Alsace,60
2017-02-22,Aquitaine,100
2017-02-22,Auvergne,75
2017-02-22,Brittany,91
2017-02-22,Burgundy,90
2017-02-22,Centre-Val de Loire,74
2017-02-22,Champagne-Ardenne,82
2017-02-22,Corsica,82
2017-02-22,Franche-Comté,85
2017-02-22,Languedoc-Roussillon,77
2017-02-22,Limousin,81
2017-02-22,Lorraine,85
2017-02-22,Lower Normandy,72
2017-02-22,Midi-Pyrénées,86
2017-02-22,Nord-Pas-de-Calais,71
2017-02-22,Pays de la Loire,84
2017-02-22,Picardy,61
2017-02-22,Poitou-Charentes,80
2017-02-22,Provence-Alpes-Côte d'Azur,79
2017-02-22,Rhone-Alpes,93
2017-02-22,Upper Normandy,65
2017-02-22,Île-de-France,94
2017-02-23,Alsace,66
2017-02-23,Aquitaine,90
2017-02-23,Auvergne,85
2017-02-23,Brittany,93
2017-02-23,Burgundy,69
2017-02-23,Centre-Val de Loire,81
2017-02-23,Champagne-Ardenne,72
2017-02-23,Corsica,60
2017-02-23,Franche-Comté,70
2017-02-23,Languedoc-Roussillon,70
2017-02-23,Limousin,73
2017-02-23,Lorraine,78
2017-02-23,Lower Normandy,84
2017-02-23,Midi-Pyrénées,100
2017-02-23,Nord-Pas-de-Calais,67
2017-02-23,Pays de la Loire,69
2017-02-23,Picardy,58
2017-02-23,Poitou-Charentes,99
2017-02-23,Provence-Alpes-Côte d'Azur,84
2017-02-23,Rhone-Alpes,88
2017-02-23,Upper Normandy,67
2017-02-23,Île-de-France,90
2017-02-24,Alsace,51
2017-02-24,Aquitaine,81
2017-02-24,Auvergne,55
2017-02-24,Brittany,75
2017-02-24,Burgundy,62
2017-02-24,Centre-Val de Loire,53
2017-02-24,Champagne-Ardenne,61
2017-02-24,Corsica,100
2017-02-24,Franche-Comté,47
2017-02-24,Languedoc-Roussillon,67
2017-02-24,Limousin,90
2017-02-24,Lorraine,67
2017-02-24,Lower Normandy,63
2017-02-24,Midi-Pyrénées,77
2017-02-24,Nord-Pas-de-Calais,56
2017-02-24,Pays de la Loire,60
2017-02-24,Picardy,60
2017-02-24,Poitou-Charentes,59
2017-02-24,Provence-Alpes-Côte d'Azur,61
2017-02-24,Rhone-Alpes,64
2017-02-24,Upper Normandy,47
2017-02-24,Île-de-France,70
2017-02-25,Alsace,37
2017-02-25,Aquitaine,66
2017-02-25,Auvergne,51
2017-02-25,Brittany,48
2017-02-25,Burgundy,48
2017-02-25,Centre-Val de Loire,48
2017-02-25,Champagne-Ardenne,51
2017-02-25,Corsica,36
2017-02-25,Franche-Comté,44
2017-02-25,Languedoc-Roussillon,50
2017-02-25,Limousin,100
2017-02-25,Lorraine,41
2017-02-25,Lower Normandy,52
2017-02-25,Midi-Pyrénées,61
2017-02-25,Nord-Pas-de-Calais,37
2017-02-25,Pays de la Loire,70
2017-02-25,Picardy,50
2017-02-25,Poitou-Charentes,63
2017-02-25,Provence-Alpes-Côte d'Azur,51
2017-02-25,Rhone-Alpes,52
2017-02-25,Upper Normandy,37
2017-02-25,Île-de-France,57
2017-02-26,Alsace,44
2017-02-26,Aquitaine,63
2017-02-26,Auvergne,87
2017-02-26,Brittany,70
2017-02-26,Burgundy,71
2017-02-26,Centre-Val de Loire,50
2017-02-26,Champagne-Ardenne,41
2017-02-26,Corsica,100
2017-02-26,Franche-Comté,58
2017-02-26,Languedoc-Roussillon,69
2017-02-26,Limousin,65
2017-02-26,Lorraine,49
2017-02-26,Lower Normandy,66
2017-02-26,Midi-Pyrénées,68
2017-02-26,Nord-Pas-de-Calais,44
2017-02-26,Pays de la Loire,78
2017-02-26,Picardy,54
2017-02-26,Poitou-Charentes,58
2017-02-26,Provence-Alpes-Côte d'Azur,56
2017-02-26,Rhone-Alpes,61
2017-02-26,Upper Normandy,49
2017-02-26,Île-de-France,61
2017-02-27,Alsace,46
2017-02-27,Aquitaine,73
2017-02-27,Auvergne,79
2017-02-27,Brittany,88
2017-02-27,Burgundy,56
2017-02-27,Centre-Val de Loire,57
2017-02-27,Champagne-Ardenne,45
2017-02-27,Corsica,95
2017-02-27,Franche-Comté,53
2017-02-27,Languedoc-Roussillon,81
2017-02-27,Limousin,75
2017-02-27,Lorraine,52
2017-02-27,Lower Normandy,69
2017-02-27,Midi-Pyrénées,64
2017-02-27,Nord-Pas-de-Calais,54
2017-02-27,Pays de la Loire,100
2017-02-27,Picardy,51
2017-02-27,Poitou-Charentes,72
2017-02-27,Provence-Alpes-Côte d'Azur,70
2017-02-27,Rhone-Alpes,62
2017-02-27,Upper Normandy,53
2017-02-27,Île-de-France,70
2017-02-28,Alsace,70
2017-02-28,Aquitaine,60
2017-02-28,Auvergne,71
2017-02-28,Brittany,87
2017-02-28,Burgundy,61
2017-02-28,Centre-Val de Loire,71
2017-02-28,Champagne-Ardenne,53
2017-02-28,Corsica,95
2017-02-28,Franche-Comté,40
2017-02-28,Languedoc-Roussillon,66
2017-02-28,Limousin,72
2017-02-28,Lorraine,58
2017-02-28,Lower Normandy,73
2017-02-28,Midi-Pyrénées,76
2017-02-28,Nord-Pas-de-Calais,57
2017-02-28,Pays de la Loire,100
2017-02-28,Picardy,58
2017-02-28,Poitou-Charentes,52
2017-02-28,Provence-Alpes-Côte d'Azur,63
2017-02-28,Rhone-Alpes,68
2017-02-28,Upper Normandy,51
