DATE,GEONAME,SCORE
2017-02-01,Alsace,27
2017-02-01,Aquitaine,76
2017-02-01,Auvergne,66
2017-02-01,Brittany,62
2017-02-01,Burgundy,57
2017-02-01,Centre-Val de Loire,82
2017-02-01,Champagne-Ardenne,64
2017-02-01,Corsica,71
2017-02-01,Franche-Comté,79
2017-02-01,Languedoc-Roussillon,100
2017-02-01,Lorraine,55
2017-02-01,Lower Normandy,80
2017-02-01,Midi-Pyrénées,78
2017-02-01,Nord-Pas-de-Calais,60
2017-02-01,Pays de la Loire,69
2017-02-01,Picardy,75
2017-02-01,Poitou-Charentes,81
2017-02-01,Provence-Alpes-Côte d'Azur,70
2017-02-01,Rhone-Alpes,79
2017-02-01,Upper Normandy,55
2017-02-01,Île-de-France,56
2017-02-02,Alsace,40
2017-02-02,Aquitaine,73
2017-02-02,Auvergne,50
2017-02-02,Brittany,68
2017-02-02,Burgundy,65
2017-02-02,Centre-Val de Loire,50
2017-02-02,Champagne-Ardenne,49
2017-02-02,Corsica,68
2017-02-02,Franche-Comté,56
2017-02-02,Languedoc-Roussillon,100
2017-02-02,Limousin,35
2017-02-02,Lorraine,70
2017-02-02,Lower Normandy,52
2017-02-02,Midi-Pyrénées,71
2017-02-02,Nord-Pas-de-Calais,36
2017-02-02,Pays de la Loire,46
2017-02-02,Picardy,83
2017-02-02,Poitou-Charentes,41
2017-02-02,Provence-Alpes-Côte d'Azur,74
2017-02-02,Rhone-Alpes,75
2017-02-02,Upper Normandy,29
2017-02-02,Île-de-France,61
2017-02-03,Alsace,35
2017-02-03,Aquitaine,64
2017-02-03,Auvergne,52
2017-02-03,Brittany,41
2017-02-03,Burgundy,68
2017-02-03,Centre-Val de Loire,51
2017-02-03,Champagne-Ardenne,100
2017-02-03,Corsica,48
2017-02-03,Franche-Comté,34
2017-02-03,Languedoc-Roussillon,69
2017-02-03,Limousin,41
2017-02-03,Lorraine,31
2017-02-03,Lower Normandy,29
2017-02-03,Midi-Pyrénées,74
2017-02-03,Nord-Pas-de-Calais,42
2017-02-03,Pays de la Loire,59
2017-02-03,Picardy,26
2017-02-03,Poitou-Charentes,50
2017-02-03,Provence-Alpes-Côte d'Azur,33
2017-02-03,Rhone-Alpes,77
2017-02-03,Upper Normandy,35
2017-02-03,Île-de-France,45
2017-02-04,Alsace,62
2017-02-04,Aquitaine,65
2017-02-04,Auvergne,40
2017-02-04,Brittany,69
2017-02-04,Burgundy,80
2017-02-04,Centre-Val de Loire,60
2017-02-04,Champagne-Ardenne,66
2017-02-04,Corsica,53
2017-02-04,Franche-Comté,82
2017-02-04,Languedoc-Roussillon,82
2017-02-04,Limousin,55
2017-02-04,Lorraine,33
2017-02-04,Lower Normandy,57
2017-02-04,Midi-Pyrénées,85
2017-02-04,Nord-Pas-de-Calais,37
2017-02-04,Pays de la Loire,57
2017-02-04,Picardy,35
2017-02-04,Poitou-Charentes,58
2017-02-04,Provence-Alpes-Côte d'Azur,48
2017-02-04,Rhone-Alpes,100
2017-02-04,Upper Normandy,60
2017-02-04,Île-de-France,58
2017-02-05,Alsace,69
2017-02-05,Aquitaine,67
2017-02-05,Auvergne,69
2017-02-05,Brittany,91
2017-02-05,Burgundy,90
2017-02-05,Centre-Val de Loire,69
2017-02-05,Champagne-Ardenne,58
2017-02-05,Corsica,28
2017-02-05,Franche-Comté,94
2017-02-05,Languedoc-Roussillon,100
2017-02-05,Limousin,80
2017-02-05,Lorraine,71
2017-02-05,Lower Normandy,69
2017-02-05,Midi-Pyrénées,90
2017-02-05,Nord-Pas-de-Calais,44
2017-02-05,Pays de la Loire,75
2017-02-05,Picardy,38
2017-02-05,Poitou-Charentes,84
2017-02-05,Provence-Alpes-Côte d'Azur,64
2017-02-05,Rhone-Alpes,86
2017-02-05,Upper Normandy,75
2017-02-05,Île-de-France,67
