DATE;FOLLOWERS_LE_PEN;FOLLOWERS_FILLON;FOLLOWERS_MELENCHON;FOLLOWERS_MACRONmacron;FOLLOWERS_HAMON
2017-02-01;1252609;404893;\N;450623;\N
2017-02-02;1253925;406264;\N;453504;\N
2017-02-03;1255305;407754;\N;456199;\N
2017-02-04;1256806;409316;\N;459899;\N
2017-02-05;1258769;410807;\N;464631;\N
2017-02-06;1261051;412914;\N;468156;\N
2017-02-07;1262791;415403;\N;473210;\N
2017-02-08;1264088;416848;\N;476575;\N
2017-02-09;1265514;418030;\N;479639;\N
2017-02-10;1267601;419327;\N;483902;\N
2017-02-11;1268899;419770;\N;486939;\N
2017-02-12;1270327;421288;\N;489789;\N
2017-02-13;1271575;422219;\N;491997;\N
2017-02-14;1272915;423141;\N;494342;\N
2017-02-15;1274011;423952;\N;496337;\N
2017-02-16;1275418;425085;\N;499006;\N
2017-02-17;1276724;425967;\N;501377;\N
2017-02-18;1278156;426765;\N;503451;\N
2017-02-19;1279450;427601;\N;505534;\N
2017-02-20;1280952;428435;\N;507573;\N
2017-02-21;1283410;429105;\N;509615;\N
2017-02-22;1286873;429922;\N;512412;\N
2017-02-23;1288735;430620;\N;514848;\N
2017-02-24;1290421;431445;\N;517282;\N
2017-02-25;1291862;432254;\N;519143;\N
2017-02-26;1293578;433137;\N;521354;\N
2017-02-27;1295404;434022;\N;524011;\N
2017-02-28;1296819;434744;\N;525809;\N
2017-03-01;1298944;436695;\N;528117;\N
2017-03-02;1302009;438109;\N;530695;\N
2017-03-03;1305441;439672;\N;533719;\N
2017-03-04;1307415;441513;\N;536353;\N
2017-03-05;1309352;444085;\N;539003;\N
2017-03-06;1311687;446819;\N;541583;339548
2017-03-07;1313532;448400;\N;543756;340101
2017-03-08;1314943;449434;\N;546229;340688
2017-03-09;1316530;450493;\N;548855;341009
2017-03-10;1318169;451400;\N;551126;342161
2017-03-11;1319502;452333;\N;553274;342495
2017-03-12;1321141;453312;\N;555429;342699
2017-03-13;1322960;454104;\N;557546;342893
2017-03-14;1324588;455006;\N;560393;343233
2017-03-15;1326456;455925;994147;562664;343647
