DATE;NBRETWEETS_FILLON;NBRETWEETS_MACRON;NBRETWEETS_MELENCHON;NBRETWEETS_HAMON;NBRETWEETS_LE_PEN
2017-02-01;\N;\N;\N;\N;\N
2017-02-02;57316;8783;2998;5824;7268
2017-02-03;30747;6839;10086;5426;13560
2017-02-04;27936;35134;7872;2719;13993
2017-02-05;23334;12426;34611;28271;36281
2017-02-06;131485;19273;13769;15336;6803
2017-02-07;52789;5741;2637;27685;20567
2017-02-08;30184;8319;3110;3821;5734
2017-02-09;35733;14510;4868;8917;44657
2017-02-10;31310;14453;1511;2861;12533
2017-02-11;17659;6949;6599;5181;6295
2017-02-12;26697;7698;16216;2892;17329
2017-02-13;12992;11681;3061;8272;13361
2017-02-14;29707;8422;2398;7952;11851
2017-02-15;48853;14594;24256;6596;42981
2017-02-16;26034;26750;2700;6632;5397
2017-02-17;26650;18369;8845;7389;16929
2017-02-18;15975;28906;4317;8441;6690
2017-02-19;15376;5917;28359;9165;6365
2017-02-20;14272;6709;5930;3927;10617
2017-02-21;28404;24577;5040;13622;24852
2017-02-22;15641;32936;5421;7260;24985
2017-02-23;17780;12925;38084;11741;17356
2017-02-24;23713;28532;6043;5244;21169
2017-02-25;14541;21108;13977;2672;8510
2017-02-26;14876;17943;4213;1398;31019
2017-02-27;22232;8896;5371;222;14217
2017-02-28;3542;22181;22160;8565;20266
2017-03-01;165448;19596;7223;13611;10239
2017-03-02;76361;43732;5028;8052;25476
2017-03-03;75981;21689;3754;11058;13226
2017-03-04;73974;22356;3138;7525;15793
2017-03-05;68950;7610;13123;23433;22394
2017-03-06;60211;10575;9128;8982;24563
2017-03-07;51291;18754;5956;18749;10174
2017-03-08;29259;28488;6708;10011;23372
2017-03-09;40155;24289;4888;40702;14225
2017-03-10;24909;13545;3328;18494;9725
2017-03-11;19882;10541;11265;4614;21709
2017-03-12;344;500;12468;302;263
2017-03-13;\N;\N;\N;\N;\N
2017-03-14;\N;\N;\N;\N;\N
2017-03-15;\N;\N;\N;\N;\N
