DATE;YOUTUBESUBS_LE_PEN;YOUTUBESUBS_FILLON;YOUTUBESUBS_MELENCHON;YOUTUBESUBS_MACRON;YOUTUBESUBS_HAMON
2017-02-01;\N;\N;191372;\N;\N
2017-02-02;\N;\N;193682;\N;\N
2017-02-03;\N;\N;195301;\N;\N
2017-02-04;\N;\N;196631;\N;\N
2017-02-05;\N;\N;200622;\N;\N
2017-02-06;\N;\N;203187;\N;\N
2017-02-07;\N;\N;205239;\N;\N
2017-02-08;\N;\N;207557;\N;\N
2017-02-09;\N;\N;208869;\N;\N
2017-02-10;\N;\N;209699;\N;\N
2017-02-11;\N;\N;210468;\N;\N
2017-02-12;\N;\N;211402;\N;\N
2017-02-13;\N;\N;212053;\N;\N
2017-02-14;\N;\N;212690;\N;\N
2017-02-15;\N;\N;213293;\N;\N
2017-02-16;\N;\N;214074;\N;\N
2017-02-17;\N;\N;214713;\N;\N
2017-02-18;\N;\N;215966;\N;\N
2017-02-19;\N;\N;218701;\N;\N
2017-02-20;\N;\N;220307;\N;\N
2017-02-21;\N;\N;221025;\N;\N
2017-02-22;\N;\N;221586;\N;\N
2017-02-23;\N;\N;222119;\N;\N
2017-02-24;\N;\N;222742;\N;\N
2017-02-25;\N;\N;223128;\N;\N
2017-02-26;\N;\N;223383;\N;\N
2017-02-27;\N;\N;223758;\N;\N
2017-02-28;\N;\N;225101;\N;\N
2017-03-01;\N;\N;226180;\N;\N
2017-03-02;\N;\N;226717;\N;\N
2017-03-03;\N;\N;227140;\N;\N
2017-03-04;\N;\N;227975;\N;\N
2017-03-05;\N;\N;228705;\N;\N
2017-03-06;\N;\N;229230;9161;5215
2017-03-07;\N;\N;229638;9500;5277
2017-03-08;\N;\N;230268;9924;5365
2017-03-09;\N;\N;230639;10068;5417
2017-03-10;\N;\N;231104;10143;5453
2017-03-11;\N;\N;231432;10194;5477
2017-03-12;\N;\N;231931;10277;5521
2017-03-13;\N;\N;232287;10389;5551
2017-03-14;\N;\N;232671;10692;5581
2017-03-15;15847;4605;233141;10919;5620
