DATE;YOUTUBEVIEWS_LE_PEN;YOUTUBEVIEWS_FILLON;YOUTUBEVIEWS_MELENCHON;YOUTUBEVIEWS_MACRON;YOUTUBEVIEWS_HAMON
2017-02-01;\N;\N;264267;\N;\N
2017-02-02;\N;\N;213312;\N;\N
2017-02-03;\N;\N;127039;\N;\N
2017-02-04;\N;\N;115316;\N;\N
2017-02-05;\N;\N;361204;\N;\N
2017-02-06;\N;\N;196556;\N;\N
2017-02-07;\N;\N;165585;\N;\N
2017-02-08;\N;\N;108229;\N;\N
2017-02-09;\N;\N;81788;\N;\N
2017-02-10;\N;\N;53832;\N;\N
2017-02-11;\N;\N;52560;\N;\N
2017-02-12;\N;\N;52521;\N;\N
2017-02-13;\N;\N;67992;\N;\N
2017-02-14;\N;\N;107664;\N;\N
2017-02-15;\N;\N;136178;\N;\N
2017-02-16;\N;\N;86861;\N;\N
2017-02-17;\N;\N;118328;\N;\N
2017-02-18;\N;\N;143544;\N;\N
2017-02-19;\N;\N;274282;\N;\N
2017-02-20;\N;\N;130684;\N;\N
2017-02-21;\N;\N;108356;\N;\N
2017-02-22;\N;\N;84172;\N;\N
2017-02-23;\N;\N;65337;\N;\N
2017-02-24;\N;\N;68026;\N;\N
2017-02-25;\N;\N;110039;\N;\N
2017-02-26;\N;\N;81158;\N;\N
2017-02-27;\N;\N;123632;\N;\N
2017-02-28;\N;\N;155347;\N;\N
2017-03-01;\N;\N;87173;\N;\N
2017-03-02;\N;\N;70679;\N;\N
2017-03-03;\N;\N;49758;\N;\N
2017-03-04;\N;\N;54256;\N;\N
2017-03-05;\N;\N;99360;\N;\N
2017-03-06;\N;\N;97991;\N;\N
2017-03-07;\N;\N;64195;14315;10014
2017-03-08;\N;\N;86008;14016;10404
2017-03-09;\N;\N;115602;9250;6959
2017-03-10;\N;\N;69166;8319;8310
2017-03-11;\N;\N;51534;8591;7066
2017-03-12;\N;\N;141509;7862;4648
2017-03-13;\N;\N;191846;27893;8063
2017-03-14;\N;\N;137813;18471;4344
2017-03-15;\N;\N;\N;\N;\N
